pheno_name	test_p	residuals_norm_p	het_test_p
OTU-B_1	0.162276613417242	0.622148288085308	0.963390961630296
OTU-B_2	0.00981259151217565	0.360908079715499	0.854054519403887
OTU-B_3224	0.999985994095479	1.00344381282314e-05	0.248275869130197
OTU-B_137	0.999985994095479	0.43758944039576	0.869469576243611
OTU-B_3212	0.271362769686784	1.28035880997093e-05	0.387002902688048
OTU-B_463	0.999985994095479	0.0428159687887761	0.674043022591791
OTU-B_2275	0.84718957247393	0.0890491767859304	0.621865082752301
OTU-B_3357	0.896607245070541	0.000382191165494279	0.77401990808638
OTU-B_1532	0.748322750216823	0.43339905580826	0.882631494265777
OTU-B_1178	0.999985994095479	0.0145574373956058	0.579856437155465
OTU-B_3373	0.0313637598640965	0.00994831419995559	0.72466641660649
OTU-B_1732	0.172445695732511	0.263839454093015	0.886305131183603
OTU-B_2822	0.489227234459084	1.17588642178976e-14	0.0107719572661904
OTU-B_3012	0.491121780718339	0.000824075790326521	0.40367232552877
OTU-B_3507	0.103656176612015	2.123579959759e-05	0.305977868060459
OTU-B_3288	0.724337470849867	7.36384221533797e-15	0.11217614745818
OTU-B_3746	0.0865043673910143	8.76771980426865e-08	0.5507702682266
OTU-B_1538	0.425833863323475	0.0863525602054756	0.759243781053865
OTU-B_934	3.2544637088996e-05	0.0966619128948928	0.657181037038465
OTU-B_2117	0.999985994095479	0.589092226714607	0.333539959841093
OTU-B_27	0.551328782991421	0.574274302911844	1.61757905994064e-209
OTU-B_607	0.44080823816692	0.00494457027116438	0.239328499104411
OTU-B_52	0.999985994095479	0.958704769915013	0.753312975677793
OTU-B_391	0.746162314200279	0.00139591940958893	0.296540883293411
OTU-B_454	0.999985994095479	0.0189465812787211	0.723458286302664
OTU-B_1978	0.000143843900362761	4.67852346328674e-06	0.306086021479907
OTU-B_2082	0.996452976731917	0.0484161197141249	0.735395779524898
OTU-B_2567	0.769697625619451	0.00280367664502898	0.656231651887429
OTU-B_3597	0.0881195667984583	1.26047182719107e-09	0.29542047585467
OTU-B_2911	0.071062206665522	1.07586009001592e-09	0.627052614453403
OTU-B_2756	0.999985994095479	0.0853105803698354	0.190857331176937
OTU-B_110	0.516979914555654	0.126170850103531	0.853630225396138
OTU-B_1637	0.999985994095479	0.0345282011398035	0.864433330501518
OTU-B_684	0.775731317739525	0.0168027662116637	0.146374185099051
OTU-B_1221	0.999985994095479	0.133990935670848	0.746302896646771
OTU-B_1438	0.0335279824033727	0.000145968381393019	0.360124287418145
OTU-B_2028	0.555631470393907	0.000576909339356931	0.440090420078666
OTU-B_1993	0.84718957247393	0.0151546012363349	0.234058314852356
OTU-B_2055	0.826226518456042	0.151097066008921	0.911308396165669
OTU-B_3414	0.0756460520489353	1.18779943440335e-13	0.0186259872740608
OTU-B_1233	0.999985994095479	0.00163161480916487	0.820151169065463
OTU-B_803	0.494834039624123	0.437067329874458	0.305586261565173
OTU-B_1136	0.999985994095479	0.0127137379315677	0.659153850496354
OTU-B_2624	0.692040429105833	9.26611526903532e-05	0.389524352603857
OTU-B_1177	0.938085724790058	0.700903149065822	0.615336160513314
OTU-B_2583	0.208587023818237	0.00199987481125052	0.278828186144194
OTU-B_2016	0.999985994095479	0.0314371528333106	0.679177176906072
OTU-B_388	0.947631801696468	0.104245365877809	0.516586091630908
OTU-B_702	0.0212751726271258	0.0191298779082795	0.415408061732203
OTU-B_407	0.00534549882745077	0.323714978275926	0.84905595023312
OTU-B_764	0.0822918047425798	7.84429497839263e-05	0.534572288056273
OTU-B_3370	0.555754733193679	1.16971044030334e-08	0.252678852029686
OTU-B_2871	0.0434198032984156	2.44912370255214e-07	0.306860818123301
OTU-B_3664	0.408079269146464	3.78143417235764e-06	0.715218900742939
OTU-B_2600	0.27985687899355	0.010565558510073	0.639835674021682
OTU-B_1054	0.667024448372397	2.00591358673111e-08	0.134968682772936
OTU-B_2895	0.792394039498374	1.11425712469879e-05	0.44966286895555
OTU-B_1504	0.847803161059913	0.128807511224992	0.999692033041775
OTU-B_51	4.19918092482367e-10	0.349724597131797	0.74273363693149
OTU-B_1432	0.36471038927547	4.2755644702317e-06	0.247950628670217
OTU-B_843	0.0619589850482814	3.15819772242785e-07	0.0245397406409102
OTU-B_392	0.0918480326255114	6.45969225083881e-06	0.175623623503712
OTU-B_2149	0.212014315476034	0.00367681406324712	0.387331196758116
OTU-B_2539	0.433123563730804	1.89065819080824e-08	0.0775919327313109
OTU-B_2771	0.879250637323177	2.68213451931051e-07	0.178742874886062
OTU-B_150	0.946607312189792	0.364386896148702	0.922465665416777
OTU-B_2088	0.737620127731389	0.00336942110012022	0.296127852563278
OTU-B_2916	0.00456666990002011	5.69423230082224e-13	0.0341576972333139
OTU-B_2625	0.999985994095479	0.000492278079697335	0.498637960759225
OTU-B_3347	0.184826002926226	1.84067871103771e-05	0.347442010230868
